Name,Address,Phone,Email,Department,Password
voY csvHHsQ,EBFHAthX qsdTL,7304894157,voy_csvhhsq@iitrpr.ac.in,ME,iitrpr
QoZpaw rXfV,FyVgqu NvWnybcGB,6177529076,qozpaw_rxfv@iitrpr.ac.in,ME,iitrpr
HrSdUV xGaQRU,cfBRPaRa XTGooVoYN,7801248189,hrsduv_xgaqru@iitrpr.ac.in,ME,iitrpr
ViM ocOGj,kFMFKuaBBA aQNQjONARL,5267987069,vim_ocogj@iitrpr.ac.in,ME,iitrpr
IHCTcdY CPlStE,mIpeIUWEmR,9707771589,ihctcdy_cplste@iitrpr.ac.in,ME,iitrpr
uLxRQpe WhhlxT,GiGLEIveB uoWTdOo,7894505853,ulxrqpe_whhlxt@iitrpr.ac.in,ME,iitrpr
KPb UyTYp,jLdrSO ZdYBdGnc,8472881673,kpb_uytyp@iitrpr.ac.in,ME,iitrpr
YQZDVggO orfa,vZobZA qlwGpHXZr,7393297267,yqzdvggo_orfa@iitrpr.ac.in,ME,iitrpr
GGQKH Rurx,JIiwSR,9014027975,ggqkh_rurx@iitrpr.ac.in,ME,iitrpr
YqrVhtQF ERTk,bYjiv,8093618396,yqrvhtqf_ertk@iitrpr.ac.in,ME,iitrpr
MHMCLbS DrsVVN,tQgcVgh,1428938246,mhmclbs_drsvvn@iitrpr.ac.in,ME,iitrpr
MCJVV iTWjIAQ,dhNDO aCzwM,8615282536,mcjvv_itwjiaq@iitrpr.ac.in,ME,iitrpr
JmOlNL FRCti,iaUZVu,4103430952,jmolnl_frcti@iitrpr.ac.in,ME,iitrpr
AXey YXrHTltB,BFqczNeuT,1113919192,axey_yxrhtltb@iitrpr.ac.in,ME,iitrpr
BKse ZYI,hYEiwifmbj iJixKvPVi,4693982622,bkse_zyi@iitrpr.ac.in,CE,iitrpr
KkAmqn ykCBp,iqGTjSCP tjfUK,3476209182,kkamqn_ykcbp@iitrpr.ac.in,CE,iitrpr
Qys EvaKXIf,uQEKFSgh,9386664842,qys_evakxif@iitrpr.ac.in,CE,iitrpr
gdi RMgNEpe,QqfTk,5721173585,gdi_rmgnepe@iitrpr.ac.in,CE,iitrpr
RhQt hMaX,zsIdb nlkLD,4271001556,rhqt_hmax@iitrpr.ac.in,CE,iitrpr
fiMuNzp VaW,BEjyEwM uWxwUxcW,6649351766,fimunzp_vaw@iitrpr.ac.in,CE,iitrpr
ShVTU LziggR,BKFsKJ,8062472746,shvtu_lziggr@iitrpr.ac.in,CE,iitrpr
YRHemmh hWb,BKcBPXCJT UIihKcUUh,6393391089,yrhemmh_hwb@iitrpr.ac.in,CE,iitrpr
lEpW KKyFLHD,zafbLOwpvh,9241068150,lepw_kkyflhd@iitrpr.ac.in,CE,iitrpr
IEv AXw,LOqOmf,1414972515,iev_axw@iitrpr.ac.in,CE,iitrpr
SMMPhht imhFWNro,UnDnvKvIy,2872498015,smmphht_imhfwnro@iitrpr.ac.in,CE,iitrpr
hYYbjQve mAJd,NCtxGD YmgnLxGTZU,3068207067,hyybjqve_majd@iitrpr.ac.in,CH,iitrpr
Bwec Rai,IwKXcLu OIwJnu,7900066360,bwec_rai@iitrpr.ac.in,CH,iitrpr
MlQSqJG Lxbi,aNUHfgds,8760136869,mlqsqjg_lxbi@iitrpr.ac.in,CH,iitrpr
ENHCmN qJVtKf,WRksO LUihpBsX,3578617731,enhcmn_qjvtkf@iitrpr.ac.in,CH,iitrpr
bnkhCa aINcsSEM,qNiPMM,4196569876,bnkhca_aincssem@iitrpr.ac.in,CH,iitrpr
DBvw BYWVH,OijNCe,2162577171,dbvw_bywvh@iitrpr.ac.in,CH,iitrpr
lODf hRfIj,ysIoz,8961224910,lodf_hrfij@iitrpr.ac.in,BT,iitrpr
eJfAKABQ mtr,dRTMeB XslnMEXaq,9395301513,ejfakabq_mtr@iitrpr.ac.in,BT,iitrpr
UjpsHPak WVjKWgZz,LdzJCYX,4802805849,ujpshpak_wvjkwgzz@iitrpr.ac.in,BT,iitrpr
nltNNb gosly,eaeoo TvXsnms,3140912830,nltnnb_gosly@iitrpr.ac.in,BT,iitrpr
Cosc VznONqGz,tUznAp XFDZLv,2704991915,cosc_vznonqgz@iitrpr.ac.in,BT,iitrpr
TeDfGo WbOPnU,jKjbUUvFG,9574577507,tedfgo_wbopnu@iitrpr.ac.in,BT,iitrpr
bfsjcgMH cPoMWRC,DYLiZIZxT VDDPQOI,3119548635,bfsjcgmh_cpomwrc@iitrpr.ac.in,MM,iitrpr
YZotStbV CnUIbsn,qTqvOBKSCe rnzLHA,2672850566,yzotstbv_cnuibsn@iitrpr.ac.in,MM,iitrpr
sMUxECk wULOjpHY,UsQkJLD TSHGAAX,6082380849,smuxeck_wulojphy@iitrpr.ac.in,MM,iitrpr
eJOJFP mwHfhXtM,ghRPRk yaOnTFQHnL,4180833898,ejojfp_mwhfhxtm@iitrpr.ac.in,MM,iitrpr
uMm SzwABjS,WuZfIG AEfpfVvQ,5050855711,umm_szwabjs@iitrpr.ac.in,MM,iitrpr
czTDjB xhNRYNRT,iDjxhGwI,3849444445,cztdjb_xhnrynrt@iitrpr.ac.in,MM,iitrpr
IOns dJEGPYvX,yujMZkQahZ,2752363842,ions_djegpyvx@iitrpr.ac.in,MM,iitrpr
SNXfsDKF wfIZe,CVRpNYTgNQ GwTSXfgJ,3201923380,snxfsdkf_wfize@iitrpr.ac.in,MM,iitrpr
LsUBk LAvsVX,tZLtXoMP,5865024118,lsubk_lavsvx@iitrpr.ac.in,MM,iitrpr
jcIZVdB mAEm,eFfRKgzh,8077492531,jcizvdb_maem@iitrpr.ac.in,MM,iitrpr
mXf TKDLf,KrvBQiP,4662478881,mxf_tkdlf@iitrpr.ac.in,MC,iitrpr
lpRqtNty NkxZdUTT,UAgCRP,1609917041,lprqtnty_nkxzdutt@iitrpr.ac.in,MC,iitrpr
XZtFJ JmeioOi,wVEPXWkfEv dDeHE,1607002689,xztfj_jmeiooi@iitrpr.ac.in,MC,iitrpr
WQjg pSj,NKRyDWRMj,3362517707,wqjg_psj@iitrpr.ac.in,MC,iitrpr
xCEFIWNG DTuMc,isfhpqk,6489698087,xcefiwng_dtumc@iitrpr.ac.in,MC,iitrpr
VwelBYqm tvY,nqkvPFB,5561882973,vwelbyqm_tvy@iitrpr.ac.in,MC,iitrpr
IyvWmWa rFWNuN,YQUCsz,3369006590,iyvwmwa_rfwnun@iitrpr.ac.in,MC,iitrpr
pbDdcy iFSr,faShgaXdRu GXzDDY,5481164813,pbddcy_ifsr@iitrpr.ac.in,MC,iitrpr
ZaNb WongC,BQiaHPeF,3447971434,zanb_wongc@iitrpr.ac.in,MC,iitrpr
krh KinScLu,qkzAc BjpeI,4989021767,krh_kinsclu@iitrpr.ac.in,MC,iitrpr
YiypNNzl maehnOmb,rQNwCHN nGCAQ,8907766683,yiypnnzl_maehnomb@iitrpr.ac.in,PH,iitrpr
ewCgRN Fuf,LslsU,4551750303,ewcgrn_fuf@iitrpr.ac.in,PH,iitrpr
lIOnGuY UClHzxas,OcRrSByu,1646472877,lionguy_uclhzxas@iitrpr.ac.in,PH,iitrpr
WhQkX Bdt,EsTShmMXe bFhhGQiE,9215349407,whqkx_bdt@iitrpr.ac.in,PH,iitrpr
xvtUbUL yVxYNbC,hhpFijdFTs casJlOzIB,8948664163,xvtubul_yvxynbc@iitrpr.ac.in,PH,iitrpr
OEyRQN mrJzdkgN,xcpshvTxD,7801060903,oeyrqn_mrjzdkgn@iitrpr.ac.in,PH,iitrpr
IEEB rIBqJsLO,PUmMd mMPMd,6197713526,ieeb_ribqjslo@iitrpr.ac.in,PH,iitrpr
Lwf sYc,ilsPUFP,6315117794,lwf_syc@iitrpr.ac.in,PH,iitrpr
KgWzfGzW Nrvd,lOsKb ItPnEEfejp,5589870496,kgwzfgzw_nrvd@iitrpr.ac.in,PH,iitrpr
tUKiv XGjl,QACcccOj xmJcKfqFoH,4952853660,tukiv_xgjl@iitrpr.ac.in,PH,iitrpr
UTtojv lUE,FvZJWvpv hmaQhx,7126827419,uttojv_lue@iitrpr.ac.in,PH,iitrpr
IadiX daTNukN,zkLTSsxPN,1181213239,iadix_datnukn@iitrpr.ac.in,CY,iitrpr
GHKiEC AbYF,qVQmf aRoGGRc,2274483115,ghkiec_abyf@iitrpr.ac.in,CY,iitrpr
FTknUPR fAIvWGPO,IkbgYtCq,1034010141,ftknupr_faivwgpo@iitrpr.ac.in,CY,iitrpr
hUcNeke OfAjr,XPTRgk FELdFdDSP,8294858987,hucneke_ofajr@iitrpr.ac.in,CY,iitrpr
JWS PeF,zhUDmTxy,5112108748,jws_pef@iitrpr.ac.in,CY,iitrpr
TxS Jquhq,RXVaHUboe FTAxsBbTQ,7481514637,txs_jquhq@iitrpr.ac.in,CY,iitrpr
QRwh kqZg,pdLkFQdDo,4872314667,qrwh_kqzg@iitrpr.ac.in,CY,iitrpr
wysA XsJUH,rCTxfH uycCvJbGB,2165634929,wysa_xsjuh@iitrpr.ac.in,CY,iitrpr
VSDTCppp YLIS,WmLbjRfZ,9011533287,vsdtcppp_ylis@iitrpr.ac.in,CY,iitrpr
Bby ERnB,giyXyl iVOhJN,8835698055,bby_ernb@iitrpr.ac.in,CY,iitrpr
MRfZ eHVaLbKY,bwwXkn ygbFg,2897302366,mrfz_ehvalbky@iitrpr.ac.in,CY,iitrpr
kVVKFYad Gzfr,FWHLNjFzf ClsVj,7205971493,kvvkfyad_gzfr@iitrpr.ac.in,HS,iitrpr
gjwxG SxT,LBuqPVxFvu iXqlqtYUmx,3566927059,gjwxg_sxt@iitrpr.ac.in,HS,iitrpr
gRGpPb haDD,NmpjFAIwI,8932611796,grgppb_hadd@iitrpr.ac.in,HS,iitrpr
JAPuMyX lCwZORR,mblrVumvwD xgUpVMg,3979666292,japumyx_lcwzorr@iitrpr.ac.in,HS,iitrpr
tknj AAr,oSbkMmYUsS TzgZoYdKPw,9867009756,tknj_aar@iitrpr.ac.in,HS,iitrpr
fVEiQ gGFH,HUDQKN LzRxjpxI,8059438123,fveiq_ggfh@iitrpr.ac.in,HS,iitrpr
hFgVZrC uVvXrVN,wGbelC,7502696237,hfgvzrc_uvvxrvn@iitrpr.ac.in,HS,iitrpr
YJtZ xvE,otJADl VTTicERiV,4715428907,yjtz_xve@iitrpr.ac.in,HS,iitrpr
enjPFjh tsGdfbMx,QXsss qHmJcROOM,5914875698,enjpfjh_tsgdfbmx@iitrpr.ac.in,HS,iitrpr
SRo OhoRq,gtcQIQUnf,1359186294,sro_ohorq@iitrpr.ac.in,HS,iitrpr
zMgt HBHpaGcQ,kPLbHOckNb ZqikpIhOoE,5077122887,zmgt_hbhpagcq@iitrpr.ac.in,HS,iitrpr
RHaAgB oHmkFdEU,hJdWV,8337693837,rhaagb_ohmkfdeu@iitrpr.ac.in,MA,iitrpr
TXMl McUEtn,xoRCK ehFOjGm,4153172883,txml_mcuetn@iitrpr.ac.in,MA,iitrpr
hRflohov KWvkH,cXQonRy,2284577175,hrflohov_kwvkh@iitrpr.ac.in,MA,iitrpr
qcRrqLQn foFDonmm,rOiTnk Irvee,7621726070,qcrrqlqn_fofdonmm@iitrpr.ac.in,MA,iitrpr
Uvd NdRWc,TUwmEFd enuHzgqBZd,6540347326,uvd_ndrwc@iitrpr.ac.in,MA,iitrpr
EzldzDl szc,ldzGuK,2747492763,ezldzdl_szc@iitrpr.ac.in,MA,iitrpr
KsYrTvt PgABVnnL,KhqiY oFzTt,3403628305,ksyrtvt_pgabvnnl@iitrpr.ac.in,MA,iitrpr
DJsjG eHWAkSxK,sKMOPrVsy,1121887252,djsjg_ehwaksxk@iitrpr.ac.in,MA,iitrpr
HtjcWOL Lmv,xaRwoj BcmerusgN,7122255256,htjcwol_lmv@iitrpr.ac.in,MA,iitrpr
nyJDv RVloTS,AJqiQk,5324561472,nyjdv_rvlots@iitrpr.ac.in,MA,iitrpr
jqhjmSZU RJm,wtADSj,1052018168,jqhjmszu_rjm@iitrpr.ac.in,MA,iitrpr
wEZEihCJ uVx,VKVEewikM UFxCfKeR,8256297371,wezeihcj_uvx@iitrpr.ac.in,MA,iitrpr
JYvXgu QkvdVfz,GDBvhvP,4712832549,jyvxgu_qkvdvfz@iitrpr.ac.in,MA,iitrpr
dmWcN mworI,MlNesBwRc qRKRbqm,7632050918,dmwcn_mwori@iitrpr.ac.in,BM,iitrpr
WcWu rZBOE,AJcLcZz,6970622414,wcwu_rzboe@iitrpr.ac.in,BM,iitrpr
FJlqGs RqT,IRyowN BxKez,3823850538,fjlqgs_rqt@iitrpr.ac.in,BM,iitrpr
kFWYKkn ThD,nPkftY FysWPaHTRp,4106789513,kfwykkn_thd@iitrpr.ac.in,BM,iitrpr
AXWjNQ oYs,WJgWqVF,9057147458,axwjnq_oys@iitrpr.ac.in,BM,iitrpr
sHNIBYb wStskQs,caaXZH gSUWyf,5959651452,shnibyb_wstskqs@iitrpr.ac.in,BM,iitrpr
arN VTFP,HMRgCcqY,1657115284,arn_vtfp@iitrpr.ac.in,BM,iitrpr
eSoRxemY BFui,tteTr,3509760056,esorxemy_bfui@iitrpr.ac.in,BM,iitrpr
ocZVIIfQ WhG,BSkYLj,3429649151,oczviifq_whg@iitrpr.ac.in,BM,iitrpr
BHTGBKG BAoc,aJOSye,8438342289,bhtgbkg_baoc@iitrpr.ac.in,BM,iitrpr
UwajpKZP VSseMpLf,IZecOtvFAq nyGTfh,9551090346,uwajpkzp_vssemplf@iitrpr.ac.in,BM,iitrpr
sVcyn MUvfX,lpwtUnrFIG,2632972972,svcyn_muvfx@iitrpr.ac.in,BM,iitrpr
